DATE,TimeFrame,ID,Was Click, X(Target), Y(Target), Z(Target) , X(Camera Rotation), Y(Camera Rotation), Z(Camera Rotation),Pitch ,Yaw,Number of shots,Hypotenuse_Cursor,Hypotenuse_Ball,DegreeError
7/24/2023 7:12:34 AM,31,0,False,-2.47,150.0,438.0,0.0,0.0,0.0,9.0,33.0,0.0,34.20526275297414,37.91215768061744,-3.7068949276432974
7/24/2023 7:12:34 AM,32,0,False,-2.47,150.0,438.0,0.0,359.85,0.0,9.0,32.85,0.0,34.06057104629927,37.91215768061744,-3.851586634318167
7/24/2023 7:12:34 AM,33,0,False,-2.47,150.0,438.0,0.0,359.56,0.0,9.0,32.56,0.0,33.7809650543024,37.91215768061744,-4.131192626315041
7/24/2023 7:12:34 AM,34,0,False,-2.47,150.0,438.0,0.0,359.41,0.0,9.0,32.41,0.0,33.636410331662915,37.91215768061744,-4.275747348954525
7/24/2023 7:12:34 AM,35,0,False,-2.47,150.0,438.0,0.0,359.41,0.0,9.0,32.41,0.0,33.636410331662915,37.91215768061744,-4.275747348954525
7/24/2023 7:12:34 AM,36,0,False,-2.47,150.0,438.0,0.0,359.11,0.0,9.0,32.11,0.0,33.34744517950363,37.91215768061744,-4.56471250111381
7/24/2023 7:12:34 AM,37,0,False,-2.47,150.0,438.0,359.85,358.96,0.0,9.15,31.96,0.0,33.244008482732646,37.91215768061744,-4.668149197884794
7/24/2023 7:12:34 AM,38,0,False,-2.47,150.0,438.0,359.85,358.96,0.0,9.15,31.96,0.0,33.244008482732646,37.91215768061744,-4.668149197884794
7/24/2023 7:12:34 AM,39,0,False,-2.47,150.0,438.0,359.7,358.67,0.0,9.3,31.67,0.0,33.00725526304785,37.91215768061744,-4.904902417569588
7/24/2023 7:12:34 AM,40,0,False,-2.47,150.0,438.0,359.7,358.52,0.0,9.3,31.52,0.0,32.863359536115595,37.91215768061744,-5.048798144501845
7/24/2023 7:12:34 AM,41,0,False,-2.47,150.0,438.0,359.41,358.22,0.0,9.59,31.22,0.0,32.659707592077424,37.91215768061744,-5.252450088540016
7/24/2023 7:12:34 AM,42,0,False,-2.47,150.0,438.0,359.41,358.22,0.0,9.59,31.22,0.0,32.659707592077424,37.91215768061744,-5.252450088540016
7/24/2023 7:12:34 AM,43,0,False,-2.47,150.0,438.0,359.26,357.78,0.0,9.74,30.78,0.0,32.284299589738666,37.91215768061744,-5.6278580908787745
7/24/2023 7:12:34 AM,44,0,False,-2.47,150.0,438.0,358.96,357.78,0.0,10.04,30.78,0.0,32.37607141084292,37.91215768061744,-5.536086269774522
7/24/2023 7:12:34 AM,45,0,False,-2.47,150.0,438.0,358.82,357.63,0.0,10.18,30.63,0.0,32.27738062482766,37.91215768061744,-5.634777055789783
7/24/2023 7:12:34 AM,46,0,False,-2.47,150.0,438.0,358.82,357.34,0.0,10.18,30.34,0.0,32.00231241644891,37.91215768061744,-5.909845264168531
7/24/2023 7:12:34 AM,47,0,False,-2.47,150.0,438.0,358.52,357.19,0.0,10.48,30.19,0.0,31.957260520889463,37.91215768061744,-5.954897159727977
7/24/2023 7:12:34 AM,48,0,False,-2.47,150.0,438.0,358.37,356.89,0.0,10.63,29.89,0.0,31.723949943221132,37.91215768061744,-6.188207737396308
7/24/2023 7:12:34 AM,49,0,False,-2.47,150.0,438.0,358.08,356.45,0.0,10.92,29.45,0.0,31.409375988707577,37.91215768061744,-6.502781691909863
7/24/2023 7:12:34 AM,50,0,False,-2.47,150.0,438.0,357.63,356.0,0.0,11.37,29.0,0.0,31.14926804918536,37.91215768061744,-6.762889631432081
7/24/2023 7:12:34 AM,51,0,False,-2.47,150.0,438.0,357.19,355.56,0.0,11.81,28.56,0.0,30.905496274934656,37.91215768061744,-7.0066614056827845
7/24/2023 7:12:34 AM,52,0,False,-2.47,150.0,438.0,356.74,355.12,0.0,12.26,28.12,0.0,30.676407873152293,37.91215768061744,-7.235749807465147
7/24/2023 7:12:34 AM,53,0,False,-2.47,150.0,438.0,356.15,354.23,0.0,12.85,27.23,0.0,30.109722682216784,37.91215768061744,-7.802434998400656
7/24/2023 7:12:34 AM,54,0,False,-2.47,150.0,438.0,355.26,353.34,0.0,13.74,26.34,0.0,29.708301870016065,37.91215768061744,-8.203855810601375
